state,year,obesity_percentage,tobacco_percentage,per capita income,Deaths
North Carolina,2012,29.62,20.9,38970,81925
North Carolina,2013,29.55,20.3,38200,83329
North Carolina,2014,29.62,19.1,40064,85367
North Carolina,2015,30.03,19,41851,89133
North Carolina,2016,31.88,17.9,42651,90465
North Dakota,2011,28.02,21.9,47994,5965
North Dakota,2012,29.68,21.2,55426,6038
North Dakota,2013,31.97,21.2,53824,6233
North Dakota,2014,32.26,19.9,56316,6184
North Dakota,2015,31.24,18.7,53845,6223
North Dakota,2016,32.19,19.8,52525,6242
Ohio,2011,29.63,25.1,39071,111427
Ohio,2012,30.15,23.3,40634,112498
Ohio,2013,30.51,23.4,41098,113258
Ohio,2014,32.83,21,42754,114509
Ohio,2015,29.99,21.6,44340,118188
Ohio,2016,31.59,22.5,45040,119572
Oklahoma,2011,31.14,26.1,39043,37175
Oklahoma,2012,32.12,23.3,41469,36870
Oklahoma,2013,32.4,23.7,43097,38384
Oklahoma,2014,32.99,21.1,45540,38464
Oklahoma,2015,33.73,22.2,44245,39422
Oklahoma,2016,32.62,19.6,41871,39276
Oregon,2011,26.52,19.7,37821,32788
Oregon,2012,27.1,17.9,39601,32759
Oregon,2013,26.34,17.3,40015,33939
Oregon,2014,27.84,17,42483,34151
Oregon,2015,29.86,17.1,45182,35705
Oregon,2016,28.54,16.2,46498,35778
Pennsylvania,2011,28.66,22.4,44210,128237
Pennsylvania,2012,29.16,21.4,46019,126981
Pennsylvania,2013,30.12,21,46411,129123
Pennsylvania,2014,30.21,19.9,48431,128434
Pennsylvania,2015,30.06,18.1,50378,132598
Pennsylvania,2016,30.14,18,51614,133040
Rhode Island,2011,25.28,20,44675,9581
Rhode Island,2012,25.82,17.4,46283,9354
Rhode Island,2013,27.24,17.4,46225,9792
Rhode Island,2014,26.88,16.3,48165,9770
Rhode Island,2015,25.96,15.5,50053,10163
Rhode Island,2016,26.56,14.4,50541,9735
South Carolina,2011,30.97,23.1,34077,42072
South Carolina,2012,31.61,22.5,35572,43198
South Carolina,2013,31.71,22,35731,44582
South Carolina,2014,31.99,21.5,37622,45454
South Carolina,2015,31.65,19.7,39496,47198
South Carolina,2016,32.3,20,40404,48130
South Dakota,2011,28.29,23,44618,7314
South Dakota,2012,28.32,22,45183,7333
South Dakota,2013,29.99,19.6,45245,7099
South Dakota,2014,30.01,18.6,46959,7507
South Dakota,2015,30.58,20.1,48655,7731
South Dakota,2016,29.85,18.1,48627,7845
Tennessee,2011,29.4,23,37627,60541
Tennessee,2012,31.24,24.9,39312,61956
Tennessee,2013,33.76,24.3,39427,63406
Tennessee,2014,31.09,24.2,40801,64661
Tennessee,2015,33.64,21.9,42593,66570
Tennessee,2016,34.62,22.1,43726,67857
Texas,2011,30.15,19.2,41244,168640
Texas,2012,29.11,18.2,43397,174187
Texas,2013,30.69,15.9,43781,179183
Texas,2014,31.62,14.5,46289,183912
Texas,2015,32.21,15.2,46577,189654
Texas,2016,33.29,14.3,45616,191966
Utah,2011,24.55,11.8,34200,15266
Utah,2012,24.55,10.6,36139,15676
Utah,2013,24.32,10.3,36725,16366
Utah,2014,25.91,9.7,38517,16719
Utah,2015,24.67,9.1,40867,17334
Utah,2016,25.63,8.8,42375,17913
Vermont,2011,25.33,19.1,43790,5433
Vermont,2012,23.77,16.5,45356,5491
Vermont,2013,24.76,16.6,45941,5639
Vermont,2014,24.73,16.4,47802,5623
Vermont,2015,25.23,16,49582,5919
Vermont,2016,27.04,17,50796,5909
Virginia,2011,29.26,20.9,47775,60804
Virginia,2012,27.4,19,49585,61564
Virginia,2013,27.38,19,48855,62716
Virginia,2014,28.59,19.5,50754,63598
Virginia,2015,29.33,16.5,52892,65577
Virginia,2016,29.11,15.3,53605,66473
Washington,2011,26.59,17.5,44709,49691
Washington,2012,26.88,17.2,47768,50105
Washington,2013,27.3,16.1,48304,51264
Washington,2014,27.35,15.3,51518,52099
Washington,2015,26.56,15,53840,54595
Washington,2016,28.55,13.9,55884,54769
West Virginia,2011,32.61,28.6,34131,21867
West Virginia,2012,33.77,28.2,35118,21915
West Virginia,2013,35.11,27.3,34946,21843
West Virginia,2014,35.63,26.7,36153,22186
West Virginia,2015,35.64,25.7,36915,22752
West Virginia,2016,37.71,24.8,36931,22732
Wisconsin,2011,28.06,20.9,41178,48410
Wisconsin,2012,29.94,20.4,43034,48384
Wisconsin,2013,30.04,18.7,43184,50026
Wisconsin,2014,31.2,17.4,44939,50291
Wisconsin,2015,30.91,17.3,46681,51264
Wisconsin,2016,31.07,17.1,47550,51815
Wyoming,2011,25.01,23,49992,4387
Wyoming,2012,24.58,21.8,53527,4481
Wyoming,2013,27.59,20.6,52892,4516
Wyoming,2014,29.17,19.5,56708,4666
Wyoming,2015,28.81,19.1,57101,4778
Wyoming,2016,27.66,18.9,54610,4722
